recipe,index,image,text
RED WINE BRAISED SHORT RIBS,12,/images/recipe/red wine braised short ribs/10.png,"Once everything has finished cooking begin to plate—starting with the crispy potatoes, roasted asparagus, super tender braised short rib, and a few spoonfuls of the red wine gravy. Top with some julienned radishes and chives (optional) and a bit more of the braised gravy. All that’s left to do is enjoy!"
HEIRLOOM TOMATO SALAD,1,/images/recipe/heirloom tomato salad/image.png,
HEIRLOOM TOMATO SALAD,2,/images/recipe/heirloom tomato salad/ingr.png,
HEIRLOOM TOMATO SALAD,3,/images/recipe/heirloom tomato salad/1.png,"Start by washing, coring, and slicing 2-3 different colored heirloom tomatoes (red, green, yellow) into bite size pieces. Half 1 cup of assorted cherry tomatoes and add them to the mix. Chop up 1 clove of garlic and add it to the tomatoes. Set aside."
HEIRLOOM TOMATO SALAD,4,/images/recipe/heirloom tomato salad/2.png,"Next up, slice 1/2 of a red onion and chop 1 cucumber into small cubes. Add them to a separate bowl and set aside."
HEIRLOOM TOMATO SALAD,5,/images/recipe/heirloom tomato salad/3.png,"Add 1/2 cup of red wine, 1/2 cup of red wine vinegar, and 3-4 tbsp of brown sugar to a small sauce pot on medium heat. Let this simmer for 10-15 minutes, or until it becomes a light glaze. Once it coats the back of a spoon, remove it from the heat and refrigerate for 30 minutes."
HEIRLOOM TOMATO SALAD,6,/images/recipe/heirloom tomato salad/4.png,"While the red wine gastrique sets up in the fridge, season the tomato melody with a pinch or two of salt, 3 tbsp of red wine vinegar, 3-4 tbsp of olive oil, and some freshly cracked pepper. Add 1/2 cup of roughly chopped parsley (flat-leaf) to both the tomato and cucumber melodies."
HEIRLOOM TOMATO SALAD,7,/images/recipe/heirloom tomato salad/5.png,"Season the cucumber melody with a pinch of salt, a drizzle of olive oil, and a drizzle of red wine vinegar."
HEIRLOOM TOMATO SALAD,8,/images/recipe/heirloom tomato salad/6.png,Toss each salad to incorporate the ingredients.
HEIRLOOM TOMATO SALAD,9,/images/recipe/heirloom tomato salad/7.png,"Begin plating by placing a small drizzle of the gastrique on the bottom of a medium bowl. Add a few spoonfuls of the tomato salad on top and follow with a small serving of the cucumber and onion melody. Sprinkle with 1-2 tbsp of feta cheese, a drizzle of olive oil, fresh cracked pepper, and lastly...some more of that INSANE red wine gastrique. Enjoy!"
PINE NUT CRUSTED SALMON,1,/images/recipe/pine nut crusted salmon/image.png,
PINE NUT CRUSTED SALMON,2,/images/recipe/pine nut crusted salmon/ingr.png,
PINE NUT CRUSTED SALMON,3,/images/recipe/pine nut crusted salmon/1.png,"Start by finely chopping 1 cup of pine nuts with a knife or food processor. Add to a large mixing bowl along with 2 cups of bread crumbs, 3 tbsp of chopped parsley, salt and pepper to taste. Give this a good mix and set aside."
PINE NUT CRUSTED SALMON,4,/images/recipe/pine nut crusted salmon/2.png,"Begin making the Honey Mustard by combining, 2 tbsp of whole grain mustard, 4 tbsp of honey, 4 tbsp of olive oil, 1 tsp of minced garlic, and 1 tsp of lemon zest. Mix well."
PINE NUT CRUSTED SALMON,5,/images/recipe/pine nut crusted salmon/3.png,"Next up, slice several 1 inch fillets using approximately 2 lbs of fresh Alaskan Salmon. Ask your butcher to do this for you if you'd like to skip a step! Thoroughly coating each fillet in the honey mustard sauce, giving the fillets a good rub down to make sure they're coated well. Then drop them into the pine nut breading and thoroughly coat. Once all of the fillets are coated, place onto a baking tray or wooden baking slat, and bake for 20-25 minutes at 375°F."
PINE NUT CRUSTED SALMON,6,/images/recipe/pine nut crusted salmon/4.png,"While the salmon bakes, throw together a simple salad by shaving several carrots and zucchini into long strands. Toss these into a bowl with a handful of mixed greens, 2 tbsp of honey mustard, 2-3 tbsp of olive oil, 2 tbsp of lemon juice, salt and pepper to taste. Give this a good toss and begin plating."
PINE NUT CRUSTED SALMON,7,/images/recipe/pine nut crusted salmon/5.png,"Start with a handful of the veggie salad, followed by the pine nut crusted salmon, and finish it all off with a drizzle of the honey mustard. All that's left to do is enjoy!"
CRISPY RAVIOLI,1,/images/recipe/crispy ravioli/image.png,
CRISPY RAVIOLI,2,/images/recipe/crispy ravioli/ingr.png,
CRISPY RAVIOLI,3,/images/recipe/crispy ravioli/1.png,"Chop up 1 tbsp Italian Parsley, 1 tbsp Basil, and 1 tsp Thyme. Add the chopped herbs to a medium mixing bowl along with 1 whole egg. Add in 3-4 tbsp grated fresh Parmesan, 1/4 cup shredded Mozzarella, 1/2 cup Ricotta Cheese, and a pinch of Salt and Black Pepper. Give this a good mix and refrigerate until needed."
CRISPY RAVIOLI,4,/images/recipe/crispy ravioli/2.png,"Take your pasta dough (use the same pasta recipe described here HERE), and roll it out into a long rectangle. Run the dough through a pasta maker—first on the thickest setting and then running in through several more times, slowly working your way through the lower settings until you’ve reach your desired pasta thickness (I used a 3"")."""
CRISPY RAVIOLI,5,/images/recipe/crispy ravioli/3.png,Next cut the long piece of pasta dough in half. Cover one half in plastic to avoid it drying out. On the other half of dough begin placing dollops of the cheese filling several inches apart until the raviolis are evening portioned out.
CRISPY RAVIOLI,6,/images/recipe/crispy ravioli/4.png,Brush a little bit of egg wash (two mixed eggs) in between each dollop of cheese and gently cover it with the other sheet of pasta.
CRISPY RAVIOLI,7,/images/recipe/crispy ravioli/5.png,Carefully crimp the pasta dough in between each edge of the raviolis—trying to avoid air pockets.
CRISPY RAVIOLI,8,/images/recipe/crispy ravioli/6.png,Once sealed cut the raviolis into squares using a knife or fluted pastry cutter. Finish off any uneven edges with a another round of cutting.
CRISPY RAVIOLI,9,/images/recipe/crispy ravioli/7.png,"Dust in semolina flour, dip in a little egg wash, and generously coat in bread crumbs."
CRISPY RAVIOLI,10,/images/recipe/crispy ravioli/8.png,"In a medium sauce pan, fry filled halfway with canola oil heated to 350ºF, fry the raviolis until they turn a deep golden brown and begin to puff up in the middle. Remove them from the oil and transfer them to a plate lined with paper towel to soak up excess oil. Sprinkle with a pinch of salt and begin plating!"
CRISPY RAVIOLI,11,/images/recipe/crispy ravioli/9.png,"I whipped up a quick lemon parmesan cream sauce, but these would also go great with a simple marinara. Drizzle the sauce of your choice over the plated raviolis and finish it off with a little parmesan cheese,and a couple of crispy basil leaves for garnish. All that's left to do is enjoy!"
FETUCELLE PASTA,1,/images/recipe/fetucelle pasta/image.png,
FETUCELLE PASTA,2,/images/recipe/fetucelle pasta/ingr.png,
FETUCELLE PASTA,3,/images/recipe/fetucelle pasta/1.png,"Start with the roasted tomatoes. Quarter four vine ripened tomatoes and place them on a baking sheet with a wire rack insert. Drizzle them with a generous amount of olive oil and season them with thyme, sea salt, and pepper. Bake for 2 hours in a 350°F oven."
FETUCELLE PASTA,4,/images/recipe/fetucelle pasta/2.png,"While those roast, begin making the pasta. Pour 1 1/2 cups of bread flour onto your clean work surface and create a well in the center of the dough. Add 4 egg yolks and 1/4 cup of water into the flour well."
FETUCELLE PASTA,5,/images/recipe/fetucelle pasta/3.png,"Slowly begin mixing in the flour and the ingredients without breaking the flour well wall. Once a thick paste begins to form you can break the wall and mix in the rest of the flour until you have a solid ball of dough. After the dough is formed kneed it for 5-7 minutes, wrap it in plastic, and let it rest for 30 minutes."
FETUCELLE PASTA,6,/images/recipe/fetucelle pasta/4.png,"Once rested, remove the dough from the plastic, sprinkle it with flour, and roll it into an a long oval shape."
FETUCELLE PASTA,7,/images/recipe/fetucelle pasta/5.png,"Run the dough through the a pasta maker—first on the thickest setting and then running in through several more times, slowly working your way through the lower settings until you've reach your desired pasta thickness."
FETUCELLE PASTA,8,/images/recipe/fetucelle pasta/6.png,Cut the pasta sheets into long even rectangles. Sprinkle the sheets with flour and stack them. Gently roll the sheets together
FETUCELLE PASTA,9,/images/recipe/fetucelle pasta/7.png,and thinly slice into noodles.
FETUCELLE PASTA,10,/images/recipe/fetucelle pasta/8.png,Remove the roasted tomatoes from the oven and quarter them. Add them to a medium sauté pan on high heat with a drizzle of olive oil and chopped garlic. Sauté for 2 minutes and then turn the heat to low.
FETUCELLE PASTA,11,/images/recipe/fetucelle pasta/9.png,"Add the pasta to a pot of boiling salted water. Cook for about 2-3 minutes, or until it's reached the desired bite. Drain the pasta, toss them in little bit of olive oil, and then add them to the sauté pan. Throw in a handful of fresh arugula, salt to taste, and give it all a good toss!"
FETUCELLE PASTA,12,/images/recipe/fetucelle pasta/10.png,"The pasta is ready to plate! Add 3 tbsp of parmesan cheese, some fresh herbs, fresh cracked pepper, and enjoy!"
TUNA TACO,1,/images/recipe/tuna taco/image.png,
TUNA TACO,2,/images/recipe/tuna taco/ingr.png,
TUNA TACO,3,/images/recipe/tuna taco/1.png,Cut 3-4 wonton wrappers inter a circle shape (mini taco size) and brush both sides with oil. Mold wrappers over the top of a taco rack that is oven safe.
TUNA TACO,4,/images/recipe/tuna taco/2.png,"Season with 1 tbsp chili powder, 1 tbsp garlic powder, 1 tbsp onion powder, salt, and bake at 250F until they are nice and golden brown."
TUNA TACO,5,/images/recipe/tuna taco/3.png,"Once the wonton shells are done, thinly cut 1/4 cup scallion tops and 1/4 cup thinly sliced radish. Add to ice bath."
TUNA TACO,6,/images/recipe/tuna taco/4.png,Mince 10 oz of fresh ahi tuna (must be quality enough to eat raw).
TUNA TACO,7,/images/recipe/tuna taco/5.png,"Add tuna to a mixing bowl with 2 tbsp sesame oil, 2 tbsp mirin, 2-3 tbsp sliced green onion, 2-3 tbsp chopped serrano pepper, 2 tbsp chopped cilantro, zest and juice from half a lime, and salt to taste. Mix until well incorporated."
TUNA TACO,8,/images/recipe/tuna taco/6.png,"Assemble tuna tacos by topping the wonton shells with the mixed tuna, sliced avocado, a mixture of the ice bathed radishes and green onion tops, drained, and tossed in a little olive oil, lime and salt to taste. Finish it off with a helping of sour cream and ENJOY!"
TACOS DE ROPA VIEJA,1,/images/recipe/tacos de ropa vieja/image.png,
TACOS DE ROPA VIEJA,2,/images/recipe/tacos de ropa vieja/ingr.png,
TACOS DE ROPA VIEJA,3,/images/recipe/tacos de ropa vieja/1.png,"Begin by coating a few pounds of brisket with olive oil, seasoning it with salt and pepper to taste, and a mixed melody of 2 tbsp onion powder, 2 tbsp Spanish paprika, 2 tbsp chili powder, and 2 tbsp of ground cumin."
TACOS DE ROPA VIEJA,4,/images/recipe/tacos de ropa vieja/2.png,Coat both sides generously and give it a good rub down.
TACOS DE ROPA VIEJA,5,/images/recipe/tacos de ropa vieja/3.png,"Grill the seasoned brisket for 4-5 minutes on high heat, on ALL sides, or until there are solid char marks on each side."
TACOS DE ROPA VIEJA,6,/images/recipe/tacos de ropa vieja/4.png,"In a large saute pan on high heat, add a splash of olive oil, 1/2 a quartered white onion, 1 whole garlic clove, 1 Serrano pepper (mostly seeded), and a bunch of cilantro. Let the onions caramelize and then top with 1 bottle blonde beer and 3 cups beef stock."
TACOS DE ROPA VIEJA,7,/images/recipe/tacos de ropa vieja/5.png,Cover with a lid and simmer on low to medium heat for three hours; occasionally adding liquid when needed.
TACOS DE ROPA VIEJA,8,/images/recipe/tacos de ropa vieja/6.png,"Bring a small sauce pan to medium heat. Add 1/2 cup water, 2 tbsp apple cider vinegar, and 1/2 cup sugar. Let dissolve and the add 2 sliced green and red jalapeño peppers. Cook for 10 minutes, or until the jalapeños are translucent, remove from heat and put to the side."
TACOS DE ROPA VIEJA,9,/images/recipe/tacos de ropa vieja/7.png,"Once the beef has finished cooking, shred it with a couple of forks. It should fall apart."
TACOS DE ROPA VIEJA,10,/images/recipe/tacos de ropa vieja/8.png,Lightly fry a few small tortillas (you don’t want them hardening too much) and form them into taco shells.
TACOS DE ROPA VIEJA,11,/images/recipe/tacos de ropa vieja/9.png,"Layer tacos with a healthy portion of shredded beef. Be sure to get a good portion of that juice from the stock. Top with a melody of 1/4 cup grilled corn, 2 tbsp chopped red onion, 1 bunch of cilantro, tossed in a bit of olive oil, 1 tbsp fresh lime juice, and salt."
TACOS DE ROPA VIEJA,12,/images/recipe/tacos de ropa vieja/10.png,Layer with the sweet and spicy candied Jalapeños. Top with Cojita cheese and ENJOY!
BBQ RIBS,1,/images/recipe/bbq ribs/image.png,
